Region,ID,LandUse,Aggregate,Aggre11,SOC,PO,PER,BG,CBH,BX,Ligninase,Cellulase,Ligninase:Cellulase,TN,SOC:TN,MBC,MBN,Bacteria_richness,Fungi_richness,Bacteria_shannon,Fungi_shannon,Bacteria_PCOA1,Bacteria_PCOA2,Fungi_PCOA1,Fungi_PCOA2,16S_O/C,ITS_O/C,rrn_copy,ECM/Saprotroph
DJK,F1A4,C_Forest,B_>2,1Macroaggregate,15.34,2894.69,607.46,1413.55,66.32,52.62,3502.15,1532.49,2.29,1.56,9.81,636.1253,157.1549,1614,514,6.115,4.046,-0.196,-0.124,-0.433,-0.146,1.767,0.294,2.017,0
DJK,F2A4,C_Forest,B_>2,1Macroaggregate,16.98,2793.54,475.14,1307.4,128.18,87.9,3268.67,1523.47,2.15,1.47,11.55,765.0353,191.2588,1780,503,6.159,3.736,-0.196,-0.137,-0.427,-0.189,1.807,0.197,2.047,0.001088139
DJK,F3A4,C_Forest,B_>2,1Macroaggregate,11.51,1512.14,530.36,1203.45,79.02,67.01,2042.49,1349.48,1.51,1.38,8.36,1075.447,116.6295,1521,514,6.04,3.881,-0.196,-0.124,-0.422,-0.204,1.581,0.217,2.051,0.002902758
DJK,S1A4,B_Shrub,B_>2,1Macroaggregate,10.24,966.14,570.31,614,63.52,39.16,1536.46,716.68,2.14,1.07,9.58,797.0922,131.2949,604,642,5.476,4.131,-0.055,0.126,0.021,0.296,1.269,0.174,2.134,0.000104069
DJK,S2A4,B_Shrub,B_>2,1Macroaggregate,8.96,1152.85,701.68,961.83,106.4,176.82,1854.53,1245.05,1.49,0.88,10.13,660.3901,85.65665,1747,398,6.155,4.194,0.23,-0.046,0.314,-0.182,2.499,0.368,2.031,0
DJK,S3A4,B_Shrub,B_>2,1Macroaggregate,11.51,981.85,651.71,836.46,98.63,115.27,1633.56,1050.36,1.56,1.24,9.25,642.6593,0,1764,701,6.158,4.354,-0.048,0.105,0.002,0.26,1.431,0.148,2.009,0
DJK,C1A4,A_Cropland,B_>2,1Macroaggregate,4.86,3383.08,3618.46,352.09,37.43,29.19,7001.54,418.72,16.72,0.42,11.72,498.5163,0,1832,427,6.105,3.949,0.232,-0.049,0.314,-0.167,2.243,0.166,2.038,0.001149892
DJK,C2A4,A_Cropland,B_>2,1Macroaggregate,4.22,2155.43,1965,316.94,42.35,29.11,4120.43,388.4,10.61,0.39,10.77,343.429,0,1772,242,6.188,3.993,0.226,-0.042,0.284,-0.195,2.145,0.438,2.125,0
DJK,C3A4,A_Cropland,B_>2,1Macroaggregate,7.33,3423.95,3739,174.97,39.89,29.15,7162.95,244.02,29.35,0.39,18.65,417.7173,0,1655,1133,6.089,4.628,0.219,-0.048,0.303,-0.209,2.011,0.284,2.067,0.027952565
DJK,F1A3,C_Forest,C_0.25-2,1Macroaggregate,21.26,4852.77,3261.56,3022.65,331.41,167.28,8114.33,3521.34,2.3,1.8,11.78,619.7913,184.1757,1414,566,6.002,4.083,-0.206,-0.112,-0.418,-0.156,1.714,0.269,2.058,0
DJK,F2A3,C_Forest,C_0.25-2,1Macroaggregate,16.98,4617,4303.1,2801.31,249.67,173.04,8920.09,3224.02,2.77,1.86,9.14,964.678,143.3898,1377,473,5.968,4.011,-0.21,-0.11,-0.441,-0.174,1.498,0.34,2.114,0
DJK,F3A3,C_Forest,C_0.25-2,1Macroaggregate,18.26,5088.54,2220.03,2037.6,86.98,65.11,7308.57,2189.69,3.34,1.72,10.61,1057.374,256.6111,1461,585,6.006,4.14,-0.206,-0.103,-0.42,-0.179,1.529,0.286,2.062,0.002303086
DJK,S1A3,B_Shrub,C_0.25-2,1Macroaggregate,13.15,544.96,601.59,805.64,94.05,91.42,1146.56,991.11,1.16,1.48,8.91,625.596,148.7389,1727,679,6.179,4.206,-0.063,0.151,0.006,0.308,1.393,0.119,2.026,0.005795476
DJK,S2A3,B_Shrub,C_0.25-2,1Macroaggregate,13.43,694.33,1044.27,1250.82,132.49,236.88,1738.6,1620.19,1.07,1.49,8.99,671.321,0,1689,308,6.084,2.568,0.229,-0.038,0.273,-0.038,2.465,0.202,2.017,0
DJK,S3A3,B_Shrub,C_0.25-2,1Macroaggregate,12.43,595.75,910.64,783.23,72.42,83.22,1506.4,938.87,1.6,1.46,8.5,816.7502,0,1973,313,6.215,3.893,0.23,-0.048,0.307,-0.217,2.068,0.627,2.078,0.006143878
DJK,C1A3,A_Cropland,C_0.25-2,1Macroaggregate,5.3,1684.85,4543.03,270.66,90.78,32.75,6227.88,394.18,15.8,0.41,13.04,358.3977,0,881,422,5.761,4.111,0.237,-0.056,0.303,-0.175,2.18,0.171,2.105,0.005770155
DJK,C2A3,A_Cropland,C_0.25-2,1Macroaggregate,5.95,1478.48,4499.38,314.55,26.03,27.9,5977.85,368.49,16.22,0.37,16.07,309.7772,0,1949,339,6.173,2.942,0.234,-0.04,0.302,-0.059,2.464,0.186,2.104,0.001160242
DJK,C3A3,A_Cropland,C_0.25-2,1Macroaggregate,4.65,1442.13,4715.92,169.12,58.4,30.32,6158.05,257.85,23.88,0.38,12.28,323.5854,0,1759,392,6.105,3.799,0.226,-0.047,0.324,-0.194,1.871,0.346,2.051,0
DJK,F1A2,C_Forest,D_0.053-0.25,2Microaggregate,20.17,144.04,490.97,1555.99,121.99,56.46,635,1734.45,0.37,1.7,11.87,676.969,126.5954,1628,615,6.257,4.116,-0.218,-0.077,-0.395,-0.057,1.837,0.23,2.016,0.003329634
DJK,F2A2,C_Forest,D_0.053-0.25,2Microaggregate,20.8,155.89,102.96,468.4,181.33,20.89,258.85,670.61,0.39,1.59,13.06,794.3569,162.0029,2015,607,6.396,4.116,-0.215,-0.07,-0.404,-0.057,1.961,0.227,2.019,0.000522466
DJK,F3A2,C_Forest,D_0.053-0.25,2Microaggregate,17.53,193.61,145.62,1054.85,240.66,148.89,339.23,1444.4,0.23,1.62,10.82,668.949,91.88011,2048,642,6.424,4.075,-0.232,-0.042,-0.383,-0.024,1.742,0.223,2.086,0
DJK,S1A2,B_Shrub,D_0.053-0.25,2Microaggregate,14.25,614.81,433.49,921.98,155.64,59.62,1048.31,1137.23,0.92,1.85,7.72,660.3865,121.3724,1238,822,6.01,4.003,-0.102,0.18,0.037,0.398,1.147,0.052,2.058,0.000906096
DJK,S2A2,B_Shrub,D_0.053-0.25,2Microaggregate,17.71,940.8,714.62,993.31,152.75,56.42,1655.43,1202.49,1.38,1.64,10.77,725.0384,0,1728,759,6.29,3.992,-0.104,0.178,0.021,0.402,1.64,0.095,2.057,0
DJK,S3A2,B_Shrub,D_0.053-0.25,2Microaggregate,19.71,550.19,481.22,1484.62,158.52,263.87,1031.41,1907.02,0.54,2.26,8.72,692.7125,0,1004,699,3.67,3.722,-0.06,0.413,0.01,0.393,1.112,0.08,2.888,0.00021751
DJK,C1A2,A_Cropland,D_0.053-0.25,2Microaggregate,4.14,2412.75,2092.58,261.6,23.99,21.63,4505.33,307.22,14.66,0.35,11.71,393.4044,0,1488,545,6.116,4.422,0.131,-0.006,0.28,-0.142,1.494,0.308,2.231,0.000820712
DJK,C2A2,A_Cropland,D_0.053-0.25,2Microaggregate,3.92,2504.98,2099.26,438.16,20.11,28.53,4604.24,486.79,9.46,0.53,7.44,356.3305,0,1922,417,6.269,4.109,0.143,-0.007,0.285,-0.13,1.651,0.414,2.177,0.001591556
DJK,C3A2,A_Cropland,D_0.053-0.25,2Microaggregate,3.7,2413.96,2085.9,78.65,22.05,11.18,4499.86,111.88,40.22,0.33,11.31,479.5456,0,1590,516,6.143,4.214,0.149,-0.007,0.309,-0.177,1.411,0.203,2.303,0.000421852
DJK,F1A1,C_Forest,E_<0.053,3Clay+Silt,26.36,2725.42,2399.42,4794.31,497.54,393.73,5124.83,5685.58,0.9,2.2,11.99,651.0509,184.3512,1789,732,6.315,4.295,-0.209,-0.071,-0.34,-0.067,1.714,0.222,2.035,0.103789127
DJK,F2A1,C_Forest,E_<0.053,3Clay+Silt,22.08,2667.08,2281.99,6639.81,861.3,462.57,4949.08,7963.67,0.62,1.77,12.51,918.4457,172.1051,1173,693,6.028,4.2,-0.22,-0.068,-0.348,-0.064,1.722,0.228,2.033,0.00066912
DJK,F3A1,C_Forest,E_<0.053,3Clay+Silt,24.22,3220.76,2866.01,3068.11,196.8,428.15,6086.77,3693.06,1.65,2.11,11.5,834.8574,194.2631,1551,626,6.11,4.037,-0.166,-0.105,-0.282,-0.049,1.949,0.272,2.004,0.005555556
DJK,S1A1,B_Shrub,E_<0.053,3Clay+Silt,13.52,625.08,643.57,2724,343.05,130.03,1268.66,3197.09,0.4,1.65,8.18,538.1842,16.23482,1945,747,6.23,3.686,-0.036,0.15,0.104,0.341,1.819,0.072,2.005,0.00090617
DJK,S2A1,B_Shrub,E_<0.053,3Clay+Silt,16.43,747.84,748.86,3333.13,299.21,120.64,1496.7,3752.97,0.4,1.63,10.07,679.611,3.977125,1724,746,6.126,3.524,-0.025,0.14,0.128,0.299,2.012,0.131,1.98,0.0008285
DJK,S3A1,B_Shrub,E_<0.053,3Clay+Silt,13.7,695.74,570.92,3854.63,250.19,129.46,1266.66,4234.28,0.3,1.57,8.74,646.0044,114.2931,1920,736,6.215,3.574,-0.042,0.16,0.095,0.327,1.586,0.163,2.007,8.30E-05
DJK,C1A1,A_Cropland,E_<0.053,3Clay+Silt,4.77,3945.87,3836.7,433.36,13.58,14.54,7782.57,461.48,16.86,0.37,12.95,397.3486,0,1741,458,6.063,4.038,0.235,-0.028,0.33,-0.154,1.951,0.138,2.131,0.026685177
DJK,C2A1,A_Cropland,E_<0.053,3Clay+Silt,4.6,4637.57,4540.97,539.03,6.39,13,9178.54,558.43,16.44,0.38,12.01,462.4474,0,1790,472,6.033,4.045,0.225,-0.024,0.339,-0.107,2.041,0.223,2.392,0.000210113
DJK,C3A1,A_Cropland,E_<0.053,3Clay+Silt,5.94,4203.81,4117.56,520.55,20.77,11.47,8321.37,552.79,15.05,0.37,16.07,498.1911,0,1921,346,6.093,3.824,0.247,-0.029,0.351,-0.173,2.477,0.117,2.227,0
DJK,FB1,C_Forest,A_bulk,bulk,22.25,1739.74,4853.02,960.3,68.21,27.66,6592.76,1056.16,6.24,2.01,11.1,48.21699,48.21699,1905,458,6.299,3.699,-0.183,-0.117,-0.362,-0.053,2.104,0.371,2.03,0.004213483
DJK,FB2,C_Forest,A_bulk,bulk,21.73,1748.8,2096.36,1602.08,225.46,24.8,3845.16,1852.35,2.08,2.01,10.84,85.41667,85.41667,1690,532,6.182,3.857,-0.203,-0.092,-0.391,-0.105,1.599,0.382,2.036,0.000465116
DJK,FB3,C_Forest,A_bulk,bulk,25.79,2014.47,2048.07,1322.32,89.15,26.23,4062.55,1437.71,2.83,2.01,12.86,26.3705,26.3705,1781,545,6.233,4.005,-0.208,-0.089,-0.389,-0.076,1.623,0.335,2.006,0
DJK,SB1,B_Shrub,A_bulk,bulk,20.7,1028.29,589.98,1054.78,63.19,26.69,1618.27,1144.66,1.41,1.46,14.22,19.77477,19.77477,1674,712,6.216,3.937,-0.09,0.168,-0.008,0.386,1.233,0.09,2.05,0.000107239
DJK,SB2,B_Shrub,A_bulk,bulk,16.38,908.35,607.35,985.74,40.55,15.41,1515.7,1041.7,1.46,1.47,11.18,14.85785,14.85785,1357,696,6.058,3.917,-0.079,0.171,0.008,0.388,1.213,0.074,2.049,0
DJK,SB3,B_Shrub,A_bulk,bulk,20.52,1078.56,554.06,221.63,8.79,3.37,1632.62,233.78,6.98,1.45,14.2,92.84222,92.84222,1628,678,6.171,3.85,-0.082,0.165,-0.003,0.383,1.197,0.132,2.096,0.000757248
DJK,CB1,A_Cropland,A_bulk,bulk,6.3,2601.49,4206.01,117.02,0,24.48,6807.5,141.49,48.11,0.43,14.51,33.93879,33.93879,1785,460,6.188,3.358,0.203,-0.041,0.272,-0.06,1.559,0.345,2.14,0.00099552
DJK,CB2,A_Cropland,A_bulk,bulk,5.58,2853.86,4349.19,127.46,0,30.08,7203.06,157.54,45.72,0.42,13.27,39.9819,39.9819,1709,468,6.088,3.708,0.229,-0.05,0.272,-0.1,1.725,0.184,2.049,0.000240053
DJK,CB3,A_Cropland,A_bulk,bulk,7.55,3106.24,4492.37,276.16,82.41,35.68,7598.61,394.25,19.27,0.43,17.49,28.14897,28.14897,1870,496,6.183,3.673,0.225,-0.056,0.273,-0.103,1.841,0.221,2.065,0.000513347
MES,F1A4,C_Forest,B_>2,1Macroaggregate,80.72,116.18,183.47,4851.48,947.1,603.91,299.65,6402.5,0.05,7.24,11.14,2876.34,144.298,1659,584,6.139,4.892,-0.261,-0.215,-0.229,0.109,1.54,0.144,1.753,0.054333848
MES,F2A4,C_Forest,B_>2,1Macroaggregate,73.44,113.03,184.6,1521.75,132.05,171.28,297.64,1825.08,0.16,6.68,11,3509.369,67.83292,1435,457,5.644,4.329,-0.18,0.134,-0.238,0.088,1.48,0.28,1.909,0.166325277
MES,F3A4,C_Forest,B_>2,1Macroaggregate,124.76,112.2,195.46,1827.45,184.64,48.31,307.66,2060.39,0.15,8.36,14.92,2887.599,66.39092,1692,756,6.213,4.724,-0.255,-0.284,-0.22,0.155,1.516,0.255,1.769,0.08322164
MES,S1A4,B_Shrub,B_>2,1Macroaggregate,86.87,165.96,294.81,3277.63,711.6,1000.25,460.77,4989.49,0.09,7.4,11.74,3102.092,20.83806,1509,452,5.594,4.19,-0.208,0.136,-0.265,0.167,1.427,0.143,1.853,0.054580555
MES,S2A4,B_Shrub,B_>2,1Macroaggregate,121.2,140.39,242.99,3607.31,1184.35,732.73,383.38,5524.39,0.07,9.31,13.02,3755.531,73.71394,840,756,5.458,4.829,-0.166,0.116,-0.199,-0.225,1.27,0.219,1.898,0.059205308
MES,S3A4,B_Shrub,B_>2,1Macroaggregate,89.88,161.44,273.76,1812.16,239.71,77.55,435.19,2129.42,0.2,7.6,11.83,3120.794,10.00254,1451,573,5.832,4.22,-0.066,0.145,-0.118,-0.342,1.457,0.144,2.013,0.033904169
MES,C1A4,A_Cropland,B_>2,1Macroaggregate,20.04,529.19,1343.67,628.89,104.78,189.52,1872.86,923.19,2.03,1.88,10.63,1594.423,0,1344,517,6.05,3.807,0.498,-0.063,0.378,0.048,2.017,0.115,2.209,0.009922445
MES,C2A4,A_Cropland,B_>2,1Macroaggregate,20.3,526.4,1359.91,1423.59,110.04,174.74,1886.31,1708.37,1.1,0.75,26.96,1411.788,24.31412,676,408,5.727,3.226,0.488,-0.034,0.385,0.116,2.146,1.742,2.307,0.002199897
MES,C3A4,A_Cropland,B_>2,1Macroaggregate,25.46,531.97,1368.18,1642.94,398.05,187.23,1900.15,2228.23,0.85,2.34,10.89,1416.212,0,1781,589,6.28,4.098,0.288,0.019,0.375,-0.018,2.138,0.157,2.067,0.067597839
MES,F1A3,C_Forest,C_0.25-2,1Macroaggregate,86.44,96.35,152.24,2365.48,934.68,167.99,248.59,3468.15,0.07,6.07,14.23,3712.436,98.59713,1809,636,6.197,4.78,-0.253,-0.194,-0.233,0.132,1.568,0.187,1.793,0.099765841
MES,F2A3,C_Forest,C_0.25-2,1Macroaggregate,78.5,99.23,277.6,2793.04,712.31,209.44,376.83,3714.79,0.1,9.72,8.08,3665.835,144.2033,1430,486,5.654,4.432,-0.197,0.097,-0.253,0.094,1.436,0.348,1.876,0.276794742
MES,F3A3,C_Forest,C_0.25-2,1Macroaggregate,128,90.94,160.48,3220.59,489.93,250.9,251.42,3961.42,0.06,9.93,12.89,3759.037,189.8095,1905,819,6.3,4.828,-0.252,-0.281,-0.22,0.143,1.506,0.169,1.751,0.096258859
MES,S1A3,B_Shrub,C_0.25-2,1Macroaggregate,75.24,197.7,331.34,2739.86,627.5,620.15,529.04,3987.51,0.13,7.09,10.62,3565.678,142.0906,1225,475,5.483,4.194,-0.201,0.141,-0.236,0.122,1.389,0.12,1.905,0.065412421
MES,S2A3,B_Shrub,C_0.25-2,1Macroaggregate,132.76,170.9,204.19,4812.89,812.05,1169.17,375.1,6794.1,0.06,9.89,13.42,4763.633,164.6562,1462,652,5.973,4.63,-0.15,0.093,-0.138,-0.294,1.512,0.163,1.841,0.029250743
MES,S3A3,B_Shrub,C_0.25-2,1Macroaggregate,89.35,207.9,339.41,3374.26,1033.73,827.82,547.31,5235.8,0.1,6.38,14.01,4097.586,64.4513,1505,686,5.843,4.585,-0.123,0.165,-0.123,-0.303,1.589,0.147,1.918,0.030058967
MES,C1A3,A_Cropland,C_0.25-2,1Macroaggregate,18.69,781.61,1540.3,1523.15,286.54,103.42,2321.91,1913.12,1.21,1.86,10.07,1781.663,0,1537,649,6.118,4.456,0.497,-0.036,0.431,0.093,2.142,0.167,2.208,0.007540281
MES,C2A3,A_Cropland,C_0.25-2,1Macroaggregate,18.86,194.41,1527.55,874.97,104.37,122.59,1721.96,1101.92,1.56,1.78,10.62,1532.563,48.89268,1625.5,628,6.16,4.351,NA,NA,0.441,0.08,NA,0.236,NA,0.067235278
MES,C3A3,A_Cropland,C_0.25-2,1Macroaggregate,24.28,84.76,1514.79,1675.03,453.46,197.21,1599.55,2325.7,0.69,2.53,9.6,1939.544,0,1714,641,6.203,4.089,0.303,0.031,0.379,-0.051,1.924,0.143,2.042,0.004833253
MES,F1A2,C_Forest,D_0.053-0.25,2Microaggregate,105.38,120.24,149.38,9413.04,241.42,807.65,269.62,10462.11,0.03,7.68,13.72,3272.854,20.97983,1741,709,6.177,4.567,-0.258,-0.216,-0.243,0.141,1.493,0.188,1.786,0.129993716
MES,F2A2,C_Forest,D_0.053-0.25,2Microaggregate,92.11,119.64,180.11,6983.09,179.06,1058.02,299.74,8220.17,0.04,7.71,11.95,3233.632,50.59003,1162,560,5.519,4.131,-0.214,0.081,-0.232,0.088,1.246,0.242,1.816,0.201900238
MES,F3A2,C_Forest,D_0.053-0.25,2Microaggregate,137.64,120.21,144.27,3191.71,303.77,932.84,264.48,4428.32,0.06,11.46,12.01,4280.888,87.75738,1849,906,6.304,4.901,-0.255,-0.277,-0.232,0.151,1.639,0.265,1.777,0.142377488
MES,S1A2,B_Shrub,D_0.053-0.25,2Microaggregate,89.83,124.03,282.66,2149.23,402.7,626.1,406.69,3178.04,0.13,8.29,10.84,2159.2,35.50628,1293,536,5.585,4.264,-0.21,0.097,-0.228,0.111,1.413,0.136,1.827,0.045309867
MES,S2A2,B_Shrub,D_0.053-0.25,2Microaggregate,126.31,121.36,254.11,5094.13,760.78,1313.73,375.47,7168.64,0.05,7.66,16.48,4546.125,23.62851,1570,646,6.02,4.314,-0.138,0.089,-0.109,-0.306,1.477,0.313,1.884,0.043515439
MES,S3A2,B_Shrub,D_0.053-0.25,2Microaggregate,97.58,120.04,268.39,5210.08,637.33,295.94,388.43,6143.35,0.06,7.39,13.21,3238.321,19.59685,1530,677,5.803,4.671,-0.143,0.15,-0.152,-0.301,1.429,0.28,1.848,0.041093235
MES,C1A2,A_Cropland,D_0.053-0.25,2Microaggregate,19.79,85.32,930.08,599.86,159.03,147.38,1015.4,906.27,1.12,2.14,9.24,1803.24,60.97447,1509,648,6.137,4.294,0.48,-0.039,0.424,0.072,1.729,0.199,2.239,0.047508968
MES,C2A2,A_Cropland,D_0.053-0.25,2Microaggregate,24.87,84.19,927.43,563.67,165.71,91.8,1011.62,821.18,1.23,2.56,9.73,1844.182,0,955,531,5.835,4.246,0.491,-0.053,0.46,0.065,1.805,0.21,2.153,0.01015387
MES,C3A2,A_Cropland,D_0.053-0.25,2Microaggregate,23.18,178.71,931.13,581.76,341.03,204.24,1109.84,1127.04,0.98,2.41,9.61,1808.011,0,1594,609,6.182,3.71,0.315,0.023,0.397,-0.047,1.775,0.219,2.103,0.011156564
MES,F1A1,C_Forest,E_<0.053,3Clay+Silt,129.8,134.69,197,5725.56,637.29,647.54,331.7,7010.39,0.05,9.69,13.39,2409.76,70.14055,1666,670,6.05,4.538,-0.267,-0.186,-0.245,0.134,1.329,0.162,1.73,0.087153256
MES,F2A1,C_Forest,E_<0.053,3Clay+Silt,70.7,121.53,198.35,6542.47,963.29,172.71,319.87,7678.47,0.04,6.16,11.48,3018.871,44.40651,1473,489,5.683,4.15,-0.2,0.081,-0.249,0.093,1.23,0.248,1.87,0.265642396
